email,fixme,operator,operator:type,addr:place,operator:short,emergency,@geometry,payment:cash,@id,addr:city,building,website,internet_access,contact:facebook,building:levels,addr:state,addr:postcode,landuse,addr:housenumber,addr:full,name:ur,mobile,description,wheelchair,healthcare:speciality,type,barrier,check_date,name,name:hi,name:en,payment:debit_cards,source,name:ar,payment:credit_cards,healthcare,addr:district,amenity,operator:wikidata,branch,contact:phone,phone,addr:street,latitude,longitude
,,,,,,,center,,way/349978194,Gurugram,yes,https://www.cloudninefertility.com/centre/fertility-ivf-hospitals-in-sector-47,,,,,122003,,"MSJ House, Plot No. A-2",,,+91-9972899728,,,fertility,,,,Cloudnine Fertility Hospital,,Cloudnine Fertility Hospital,,,,,clinic,Gurugram,hospital,,Sector 47,,,"Mayfield Gardens, Sector 47",28.427426,77.0573543
,,CK Birla,private,,,,center,,way/350059960,Gurugram,,,,,4,,122001,,,,,,,,,,,,CK Birla Hospital Sector 51,,,,,,,hospital,,hospital,,,,,May Field Gardens,28.423721,77.0614059
,,,,,,,center,,way/350812190,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.509567,77.0450773
,,,,,,,,,node/414735815,,,,,,,,,,,,,,,yes,,,,,Pushpanjali Hospital,,,,,,,,,hospital,,,,,,28.4508125,77.0328448
,,,,,,no,center,,way/415212104,Gurgaon,,,,,,,122001,,"87, IDC",,,,,,,,,,AB Hospitals,,,,,,,hospital,,hospital,,,,,"Sector 16, Mehrauli Gurgaon Road",28.4685263,77.0518756
,,,,,,no,center,,way/453862916,,,,,,,,,,,,,,,,,,,,RBS Hospital,,,,,,,hospital,,hospital,,,,,,28.4929015,77.0973756
,,,,,,,,,node/477905070,,,,,,,,,,,,,,,,,,,,Astha Hospital,,,,,,,,,hospital,,,,,,28.3509265,77.0649209
,,,,,,,,,node/477905079,,,,,,,,,,,,,,,,,,,,Gobind Hospital,,,,,,,hospital,,hospital,,,,,,28.3905221,77.0491169
,,,,,,,,,node/477905091,,,,,,,,,,,,,,,,,,,,Sai Heart and Trauma Center,,,,,,,hospital,,hospital,,,,,,28.3978752,77.0455899
,,,,,,,center,,way/542389602,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.433746,77.0068754
,,,,,,,center,,way/542389839,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.4341054,77.0067576
,,,,,,,center,,way/632734097,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.4184453,77.0975184
,,,,,,,center,,way/824913107,,,,,,,Haryana,122503,,,Mirzapur,,,Government Hospital,,,,,,"New Government Hospital, Pataudi",,,,OpenGovernmentData,,,,,hospital,,,,,,28.3328912,76.7748937
,,,,,,yes,center,,way/1153427860,Gurgaon,,,,,,,,,,,,,,,multispeciality,,,,Metro Hospital & Heart Institute,,,,,,,hospital,,hospital,,,,,,28.518172,77.0389853
,,,,,,,center,,way/1153428133,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.4797485,77.0749497
,,,,,,,center,,way/1197498942,,,http://www.sgtmedicalcollege.org/,,,,Haryana,122505,,,"Near Sultanpur Bird Sanctuary, Village Budhera",,,,,,,,,SGT Medical College Hospital & Research Institute,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4778041,76.9034748
,,,,,,,center,,way/1272043657,,yes,,,,,,,,,,,,,,,,,,SHIV RAM HOSPITAL,,,,,,,hospital,,hospital,,,,,,28.3356352,76.7702465
,,,,,,,,,node/1371226158,,,,,,,,,,,,,,,,,,,,Sitaram Bhartia,,,,,,,hospital,,hospital,,,,,,28.4675077,77.0824741
,,,,,,,,,node/1646596545,,,,,,,,,,,,,,,,,,,,Civil Hospital,,,,,,,,,hospital,,,,,,28.2485039,77.0714498
gurgaon@vatikagroub.com,,,,,,,,,node/4194541291,,,,,,,,,,,,مختبر تحليلات,,,,,,,,,,,,,,,,,hospital,,,,01244555788,"b-1, green wood city, sector -45",28.446227,77.0613212
hr-palamvihar@metrohospitals.com,,,private,,,,,,node/4212577545,,,https://www.metrohospitals.com/content.phppage=170andparent=14,,,,Haryana,122017,,,"H - Block, Palam ViharGurgaon, Delhi -NCR",,,,,Cardiology; Medicine; Neurosurgery Orthopedic; Pediatrics and Neonatology Urology,,,,"Metro Hospital and Heart Institute, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.518174,77.0388234
,,,,,,,,,node/4493652690,,,,,,,,,,,,,,,,,,,,السكن,السكن,,,,,,,,hospital,,,,,,28.4460767,77.0615689
,,,,,,,,,node/6071092569,,,,,,,,,,,,,,,,,,,,Anahat Hospital,,,,,,,,,hospital,,,,,,28.4832404,77.1071305
,,,,,,,,,node/6221554150,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,hospital,,,,,,28.4349952,77.0352265
,,,,,,,,,node/6991277966,,,,,,,Haryana,122001,,,"1031/-, Railway Road, Near Mata Chintapurni Mandir",,,,,,,,,Sarvodya Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4772418,77.0164105
,,,,,,,,,node/6991277967,,,,,,,Haryana,122001,,,299/2 Old Delhi Road Near Telephone Exchange,,,,,,,,,"Saraswati Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4686477,77.0382518
,,,,,,,,,node/6991278237,,,,,,,Haryana,122001,,,"B-62, Surya Vihar, Near Police Chowki Sector 4",,,,,,,,,"Shree Krishna Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4733303,77.003265
,,,,,,,,,node/6991290274,,,,,,,Haryana,122001,,,"#47/5, Jacobpura,Near Arya Samaj Mandir",,,,,,,,,"Sharma Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4618014,77.027472
,,,,,,,,,node/6991311535,,,,,,,Haryana,122001,,,"Pataudi Road, Near GovernmentSchool Gadoli",,,,,,,,,Shri Balaji Hospital and Trauma Center,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4409108,76.980076
,,,,,,,,,node/6991349886,,,,,,,Haryana,122001,,,"Sec.-9-10, Basai Chowk, Basai Road",,,,,,,,,Shri Balaji`S Multispeciality Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4577278,76.9909818
,,,,,,,,,node/6991532456,,,,,,,Haryana,122001,,,"Kasan Road, Next To Union Bank,Manesar, G",,,,,,,,,Siyaram Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.3547767,76.9334283
info@anandhospitals.com,,,private,,,,,,node/6991634425,,,http://anandhospitals.com/,,,,Haryana,122003,,,"171, Sector-56, Gurgaon, Delhi -NCR",,,,,,,,,"Anand Hospital, Gurgaon",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.42578,77.09168
,,,,,,,,,node/6993917647,,,,,,,Haryana,122001,,,"Manadan Puri Road, Manadan Puri Road",,,,,maternity,,,,Navjeevan Hospital and Maternity Centre,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4571607,77.0143104
info@sethihospital.in,,,private,,,,,,node/6993922158,Gurgaon,,http://www.sethihospital.in/,,,,Haryana,122001,,,"301-302/4, Model Town, Basai Road",,,,,Orthopedic;Internal Medicine;Laparoscopic Surgery;Cardiology;Obstetrics and Gynaecology;Emergency and Critical Care;Pediatrics Neurosurgery;Gastroenterology,,,,Sethi Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4565865,77.0207731
,,,,,,,,,node/6993926207,,,,,,,Haryana,122003,,,"135-P, Sector-56",,,,,surgery,,,,"Surgicare Hospital, Gurgaon",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4272365,77.0940806
gurgaon@parkhospital.in,,,private,,,,,,node/6993926819,,,https://parkhospital.in/,,,,Haryana,122001,,,"Q Block, South City 2, Sohna Road, Main Sec-47, Gurgaon",,,,,multi speciality,,,,Park Hospital Gurgaon,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,7503141435,,,28.4201363,77.0487258
,,,,,,,,,node/6993931828,,,,,,,Haryana,122001,,,"Near Bhuteshwar Mandir,Basai Road",,,,,maternity,,,,Pasricha Hospital and Maternity Home,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4568812,77.0222792
,,,,,,,,,node/6993972307,,,,,,,Haryana,122103,,,".D. Hotel, Opposite Bus Stand, Main Road, Sohna",,,,,,,,,Vardaan Hospital and Trauma Centre,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.2468537,77.0728482
,,,,,,,,,node/6994059852,,,,,,,Haryana,122001,,,Main Jharsa Road,,,,,,,,,Dayal Eye & Maternity Centre,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4559386,77.0374082
,,,,,,,,,node/6994092369,Gurgaon,,,,,,Haryana,122001,,,"Basai Road, OppositeDharam Kanta",,,,,,,,,Shubham Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4567439,77.0210648
info@kalyanihospital.com,,,private,,,,,,node/6994099950,,,https://www.kalyanihospital.com/,,,,Haryana,,,,"Mehrauli Gurgaon Road, OppositeGovt Girls College, Near Sector - 14, Gurgaon",,,,,multi specialit,,,2024-11-22,"Kalyani Hospital, Gurgaon",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4678366,77.0422697
,,,,,,,,,node/6994228914,,,,,,,Haryana,122002,,,"1, Dakshin Marg Dlf City Phase-Ii",,,,,,,,2025-02-23,Uma Sanjeevani Health Centre And Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4814867,77.0863196
info@privathospital.org,,,private,DLF City-II,,,,,node/6994248249,,,https://www.privathospital.org/,,,,Haryana,122002,,,,,,,,multi speciality,,,,Privat Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,Mehrauli-Gurgaon Road,28.4797951,77.0746909
,,,,,,,,,node/6994329594,,,,,,,Haryana,122001,,,"563, Saraswati Vihar, Chakarpur",,,,,,,,,"Sidhesh Hospital, Gurgaon",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4752436,77.0824251
,,,,,,,,,node/6994541473,,,,,,,Haryana,122001,,,"21 L New Colony, Near Our Lady Of Fatima School",,,,,,,,,Chiranjiv Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4644545,77.0187361
,,,,,,,,,node/6997221454,,,,,,,Haryana,122016,,,"Plot No. H-2/149, Near Yadav Market, Bajghera Road New Palam Vihar",,,,,,,,,"Kalyan Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.5061017,77.0222524
,,,,,,,,,node/6997230529,,,,,,,Haryana,122001,,,"Pataudiroad, OppositeKadipurindustrialarea",,,,,,,,,"Sangwan Hospital, Gurgaon",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4749937,77.0561126
,,,,,,,,,node/6997303635,,,,,,,Haryana,122001,,,"Opposite Carrier Aircon, Near Haldiram Chowk, Kherki Daula, Nh-8",,,,,,,,,S.R.S. Hospital and Critical Care Unit,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4033015,76.9881588
,,,private,,,,,,node/6997463000,,,http://drumeshgupta.com/,,,,Haryana,122002,,,"Dr.Umesh Gupta, A-520, Sushant Lok-1, Near IFFCO Chowk Metro Station",,,,,,,,,Umkal Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4715295,77.0733096
,,,,,,,,,node/6997568727,,,,,,,Haryana,122001,,,"Sector 17-B,H No 956,Defence Colony, (Behind Iffco)By Pass Road",,,,,,,,,Thukral Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4814348,77.0653957
,,,,,,,,,node/6997600243,,,,,,,Haryana,122001,,,"207/13, Old Railway Road, Near Prem Mander Subash Nagar",,,,,,,,,"Triveni Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.463775,77.022188
,,,,,,,,,node/6997631317,,,,,,,Haryana,122001,,,113-A New Colony Near Geeta Bhawan,,,,,,,,,Taneja Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4663216,77.0138611
,,,,,,,,,node/6997688587,,,,,,,Haryana,122001,,,John Hall Road Civil Lines,,,,,,,,,"Pushpanjali Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4500967,77.0327827
,,,,,,,,,node/6997700191,,,,,,,Haryana,122001,,,"558, Sector-5",,,,,,,,,Yashroop Medical Centre,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4822505,77.0214477
,,,,,,,,,node/6997700192,,,,,,,Haryana,122001,,,"3236/31, Rajindera Park, Near Railway Station",,,,,,,,,Chirag Hospital Pvt. Ltd,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4953531,77.0114095
,,,private,,,yes,,,node/6997700212,,,,,,,Haryana,122002,,,"Sector-44, Opposite Huda City Centre Metro Station",,,,,,,,2024-05-26,Fortis Memorial Research Institute / Fortis Vivekanand Hospital,,Fortis Memorial Research Institute / Fortis Vivekanand Hospital,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4567857,77.0728657
info@lotushospital.org,,,private,,,,,,node/6997700220,,,https://www.lotushospital.org/,,,,Haryana,122001,,,"Mata Road, Near Roadways Workshop",,,,,Laparoscopic Surgery; Orthopedic; Internal Medicine Plastic Surgery; Gynaecology; Pediatrics; Pathology; Urology,,,,"Lotus Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4692855,77.034447
,,,,,,,,,node/6997700282,,,,,,,Haryana,122001,,,"94-95, Link Road, Bhim Nagar Chowk, Opposite Dronacharya Mandir , Near New Railway Road",,,,,,,,,"Sparsh Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4701296,77.0226856
,,,,,,,,,node/6997700322,Gurgaon,,,,,,Haryana,122001,,,"1-A/22, Laxmi Garden, Pataudi Road",,,,,,,,,Mangalam Hospital and Heart Centre,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4539854,77.0139308
,,,,,,,,,node/6997714626,,,,,,,Haryana,122001,,,Sector - 30 Jal Vayu Vihar,,,,,,,,,"Shivam Hospital, Gurgaon",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4574704,77.0536983
rajiveyeworld@yahoo.com,,,private,,,,,,node/6997714637,,,https://rajiveye.tripod.com/,,,,Haryana,122001,,,"14/5 Jacobpura, Near Arya Samaj Mandir",,,,,,,,,"Rajiv Memorial Eye Infirmary, Jacobpura",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4624763,77.0276631
,,,,,,,,,node/6997832575,,,,,,,Haryana,122001,,,"Ashok Vihar, Gurgaon",,,,,,,,,"Sneh Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4823666,77.0141546
,,,,,,,,,node/6997845822,,,,,,,Haryana,122001,,,"Opposite Vatika Arcade, - Sohna Road",,,,,,,,,Sona Devi Memorial Hospital and Trauma Centre,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.3966869,77.0464955
,,,,,,,,,node/6997912505,,,,,,,Haryana,122001,,,"37, Mil Stone Hero Honda Chowk",,,,,trauma,,,,Ayushman Hospital And Trauma Centre,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4379095,77.0110461
support@aryanhospital.in,,,private,,,,,,node/6997916397,,,https://aryanhospital.in/,,,,Haryana,122001,,,"Old Railway Road, Gurgaon",,,,,ENT; Gastroenterology; Gynaecology; Maxillofacial and Oral surgery; Orthopedic; Plastic and Cosmetic Surgery Spine Surgery; Surgical Oncology; Urology,,,,Aryan Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.469559,77.0195045
,,,,,,,,,node/6997926204,,,,,,,Haryana,122101,,,Badshapur,,,,,,,,,Sai Dharamraj Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.3970019,77.045605
,,,,,,,,,node/6997941837,,,,,,,Haryana,122001,,,"Khandsa Road, G",,,,,,,,,Rama Hospital & Nursing Home,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4567256,77.0230785
,,,,,,,,,node/6998006318,,,,,,,Haryana,122001,,,"Main Sohna Road, Near Radha Krishna Temple Badshahpur",,,,,,,,,Ekta Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.3981002,77.0453744
,,,,,,,,,node/6998006337,,,,,,,Haryana,122001,,,"Sector-4, Railway Road",,,,,,,,,Jain Sant Phool Chand Ji Charitable Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4771569,77.0158929
,,,,,,,,,node/6998051836,,,,,,,Haryana,122001,,,"Near Radha Krishan Mandir, Opp Corporation Bank, Sohna Road, Badshahpur",,,,,,,,,"Sanjeevani Hospital, Gurgaon",,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.3969405,77.046572
Kathuria.hospital@yahoo.com,,,private,,,,,,node/6998114433,,,http://www.kathuriahospital.com/index.html,,,,Haryana,122002,,,"19/8, Model Town, Opp SD School, Khandsa Road, Gurgaon",,,,,Endoscopic procedure; Neuro surgery; Paediatric; Plastic surgery; Laparoscopic surgery; Endoscopic and urology surgery Gyne; Skin; V.D.Ortho; Dental,,,,Kathuria Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4534132,77.0199907
,,,,,,,,,node/7000653109,,,,,,,Haryana,122001,,,"166/20, Basai Road",,,,,,,,,Tirath Ram Hospitals Pvt Ltd,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.457085,77.0201597
ashishlall@rediffmail.com,,,private,,,,,,node/7001015603,,,http://www.lallhospital.com/,,,,Haryana,122001,,,"3654, New Railway Road",,,,,Medicine; Pediatrics; ENT; Gynaecology; Surgery; Orthopedics; Skin; Psychiatry Eye,,,,Lall Nursing and Maternity Home,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4667802,77.027307
infogurgaon1@centreforsight.net,,,private,,,,,,node/7001218513,,,https://www.centreforsight.net/,,,,Haryana,122001,,,"Plot 399/1, New railway road",,,,,Neuro Ophthalmology; Pediatric Ophthalmology ; Ophthalmology,,,,"Centre For Sight, Gurgaon, New Railway Road",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4682869,77.0260289
,,,,,,,,,node/7001301856,,,,,,,Haryana,122001,,,"173/27. Near Hanuman Mandir, Gali No.3 Madanpuri",,,,,,,,,"Satyam Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4609572,77.0180051
info@aedi.in,,,private,,,,,,node/7002913046,,,https://aedi.in/,,,,Haryana,122001,,,"560/1, Dayanand Colony, New Railway Road, Gurgaon",,,,,Eye Care; Dental Care,,,,Ahooja Eye and Dental Institute Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4639141,77.0305404
ashishlall@rediffmail.com,,,private,,,,,,node/7002917150,,,http://www.lallhospital.com/,,,,Haryana,122001,,,New Railway Road,,,,,Eye care,,,,Lall Eye Care Centre,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4667015,77.0272123
,,,,,,,,,node/7002943647,,,,,,,Haryana,122001,,,Jacobpura,,,,,,,,,Verma E.N.T. Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4652069,77.0280714
,,,,,,,,,node/7002954086,,,,,,,Haryana,122006,,,"Near Income Tax Office Jacobpura,Sector-12A",,,,,,,,,"Gupta Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4644246,77.0268832
,,,,,,,,,node/7002991292,,,,,,,Haryana,122001,,,"14-A,Mianwali Colony New Railway Road",,,,,,,,,Jackson Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4691487,77.0286816
,,,,,,,,,node/7002997882,,,,,,,Haryana,122001,,,Sco 1 & 2 Sector-14,,,,,,,,,"Apollo Cradle Hospital,Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4786458,77.0474356
,,,,,,,,,node/7003011057,,,,,,,Haryana,122001,,,"489/11, Subhash Nagar",,,,,,,,,Sukhmani Hospital Pvt. Ltd,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4342254,77.0481464
,,,,,,,,,node/7003011058,,,,,,,Haryana,122001,,,"A-86, 45, Feet Road, Rajendra Park",,,,,,,,,"R K Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4930865,77.0088346
,,,,,,,,,node/7007531446,Gurgaon,,,,,,Haryana,122001,,,"Near Radha Swami Satsang Bhawan , Pataudi Road ,Sec. 10",,,,,,,,,Kamla Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.446446,76.9915827
,,,,,,,,,node/7007695184,,,,,,,Haryana,122001,,,"50-B & 77-C, Mianwali Colony, New Railway Road",,,,,,,,,M Goel Hospital,,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4675082,77.027738
sunrisehospital2009@yahoo.in,,,private,,,,,,node/7008020087,,,http://www.sunrisehospital.net.in/,,,,Haryana,122001,,,"Khandsa Road, Near Sector 10A",,,,,Obstetrics and Gynaecology;Pediatrics Chest and Respiratory Medicine;Orthopedic General Surgery;Internal Medicine ENT;EYE;Neuro Sciences;Dental,,,,Sunrise Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4428341,77.0106183
,,,,,,,,,node/7008078166,,,,,,,Haryana,122001,,,"554+1/21, Om Nagar, Near 35 Mile Stone, N. H. 8, Rajnagar Chowk",,,,,,,,,Rajendra Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4495431,77.0211279
,,,,,,,,,node/7008219482,,,,,,,Haryana,122001,,,"Plot No. 196, Behind Jalayu Tower,Sector 56",,,,,,,,,Kriti Hospital,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4249603,77.093567
,,,,,,,,,node/7008343539,,,,,,,Haryana,122001,,,"Near Chander Dairy,New Mata Road,Rajeev Nagar",,,,,,,,,"Jeevan Jyoti Hospital, Gurgaon",,,,OpenGovernmentData,,,,Gurgaon,hospital,,,,,,28.4763789,77.0350291
,,,,,,,,,node/7008441237,,,,,,,Haryana,122018,,,"1,Sohna Road,Islampur,Near Rajiv Chowk, Near Airofrce Police Station,G",,,,,,,,,Samvit Health Care,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.4350285,77.0351672
,,,,,,,,,node/7008444605,,,,,,,Haryana,122101,,,"Opp Icici , Badshshpur",,,,,,,,,Kamal Hospital and Maternity Centre,,,,OpenGovernmentData,,,hospital,Gurgaon,hospital,,,,,,28.3887198,77.0501634
