Zone,Year,Population Density (per sq km),Housing Units,Avg Household Size,Green Area (%),Total Road Length (km),Highway Ratio,Arterial Ratio,Local Road Ratio,Current Congestion Level (%),Housing Growth Rate (%)
Zone M,2010,19473,73888,4.2,11.11,170.4,0.08,0.43,0.46,47.6,3.63
Zone O,2014,25368,19077,5.5,9.25,426.0,0.12,0.24,0.57,46.2,6.06
Zone M,2025,23328,30953,4.8,5.66,56.6,0.13,0.43,0.57,91.2,2.24
Zone J,2016,8827,77889,5.1,11.08,220.6,0.11,0.27,0.43,49.4,6.64
Zone O,2015,27915,33821,3.8,18.06,201.8,0.18,0.4,0.35,80.4,5.63
Zone M,2021,15147,47567,5.2,23.77,58.7,0.18,0.37,0.55,55.6,6.68
Zone A,2010,12451,34860,5.3,22.42,106.0,0.14,0.48,0.35,39.1,5.22
Zone G,2014,23343,31195,4.5,20.32,236.1,0.14,0.32,0.53,30.7,3.5
Zone J,2024,21635,31427,4.7,20.77,271.8,0.26,0.22,0.58,65.4,6.66
Zone A,2014,28260,37083,5.0,18.3,231.9,0.25,0.21,0.58,93.4,3.02
Zone L,2015,13959,67372,3.8,10.21,288.9,0.13,0.45,0.6,54.0,3.33
Zone H,2012,8126,54064,4.5,23.14,317.8,0.28,0.36,0.65,53.2,5.35
Zone K2,2014,27561,17813,4.3,18.41,54.5,0.29,0.43,0.5,52.4,5.71
Zone P2,2016,16795,41598,3.8,16.21,258.8,0.13,0.27,0.59,63.8,6.61
Zone H,2014,19641,37082,4.2,7.22,483.6,0.14,0.3,0.55,58.6,2.63
Zone C,2014,29493,39241,3.6,13.94,283.6,0.18,0.21,0.37,87.2,5.89
Zone C,2014,28530,54569,3.6,14.21,354.9,0.29,0.49,0.31,62.9,5.56
Zone A,2019,15196,21745,3.8,22.29,190.3,0.27,0.4,0.41,63.0,1.85
Zone E,2019,19559,36029,5.4,15.93,398.3,0.08,0.48,0.48,39.0,3.63
Zone K1,2012,11368,23025,4.6,12.61,397.8,0.15,0.28,0.55,93.9,3.06
Zone G,2010,11797,24288,5.4,24.54,284.6,0.19,0.38,0.64,46.2,3.17
Zone J,2014,23114,16540,4.4,7.21,489.2,0.18,0.4,0.38,34.8,6.91
Zone G,2023,21718,78878,4.1,13.45,106.5,0.1,0.3,0.35,73.1,5.04
Zone J,2018,9792,51846,4.5,5.84,57.6,0.26,0.45,0.69,68.7,5.45
Zone H,2023,19053,27482,4.4,19.8,396.6,0.22,0.48,0.34,57.0,6.87
Zone L,2010,11476,33411,3.7,23.36,413.2,0.26,0.47,0.49,57.4,3.57
Zone B,2012,11417,60975,4.8,10.6,104.1,0.26,0.42,0.53,81.0,5.91
Zone A,2022,9645,70545,3.9,22.17,169.5,0.24,0.28,0.52,42.7,3.89
Zone P1,2022,22755,62307,4.7,10.84,57.9,0.16,0.28,0.33,83.3,6.28
Zone E,2013,27414,13093,4.8,23.22,182.0,0.2,0.49,0.32,72.2,2.49
Zone C,2023,27256,32042,3.8,20.08,397.9,0.09,0.2,0.34,57.2,6.71
Zone L,2010,11072,62930,3.6,21.1,283.1,0.22,0.41,0.53,59.8,2.7
Zone H,2010,9854,54413,5.1,5.36,206.6,0.09,0.41,0.52,46.7,3.29
Zone C,2017,28405,43756,4.4,24.26,217.3,0.22,0.39,0.39,78.9,5.66
Zone A,2025,12662,63268,3.6,19.53,50.6,0.11,0.5,0.56,63.3,3.67
Zone C,2011,14514,49214,5.5,11.1,184.9,0.08,0.29,0.63,50.9,4.85
Zone E,2021,29415,38602,3.6,21.59,340.9,0.09,0.3,0.32,68.7,3.95
Zone O,2024,10708,63331,4.9,10.63,488.4,0.05,0.22,0.5,94.7,5.58
Zone N,2017,19694,58901,5.5,22.46,431.2,0.23,0.33,0.58,58.3,2.76
Zone C,2016,17524,73416,4.0,7.25,60.6,0.23,0.28,0.4,89.8,1.82
Zone A,2019,27891,42196,3.8,19.07,454.4,0.18,0.3,0.42,52.4,3.15
Zone E,2019,14456,15626,3.7,15.81,402.4,0.09,0.45,0.55,33.6,4.11
Zone N,2011,12212,17424,4.1,6.93,401.2,0.07,0.48,0.66,43.3,2.42
Zone G,2015,21224,22857,3.7,9.84,256.1,0.05,0.26,0.62,57.2,3.45
Zone J,2015,15970,29982,4.9,5.25,229.1,0.09,0.31,0.53,44.3,3.7
Zone O,2012,24920,11980,3.6,14.38,186.3,0.27,0.48,0.59,30.0,1.82
Zone O,2020,9625,58290,4.5,11.03,79.6,0.11,0.22,0.45,89.5,4.71
Zone K1,2011,18314,36431,5.5,16.97,152.7,0.14,0.23,0.56,84.9,6.36
Zone M,2021,15973,36385,5.1,10.94,161.0,0.08,0.25,0.49,78.2,2.33
Zone G,2010,16577,48158,4.7,11.0,267.8,0.11,0.38,0.38,40.9,4.79
Zone P2,2015,16070,33019,4.1,19.86,386.3,0.18,0.25,0.58,37.8,5.16
Zone D,2021,16666,28639,4.7,5.96,263.2,0.2,0.49,0.52,34.4,3.81
Zone E,2014,11600,31563,4.6,23.06,76.0,0.11,0.33,0.44,77.1,5.36
Zone G,2023,14783,49341,4.4,22.05,481.0,0.06,0.35,0.66,90.4,3.76
Zone M,2023,21226,15776,3.8,18.36,474.2,0.15,0.27,0.31,58.0,4.28
Zone O,2020,17146,46444,5.3,16.86,403.3,0.11,0.34,0.43,37.7,1.54
Zone K2,2018,12971,78916,4.4,22.85,496.1,0.1,0.4,0.32,63.3,5.3
Zone D,2010,21490,18711,3.9,8.71,295.0,0.29,0.43,0.61,52.7,5.14
Zone M,2025,25589,40707,4.2,6.58,483.2,0.2,0.43,0.58,54.4,1.71
Zone G,2024,20951,49110,4.3,9.79,84.0,0.19,0.37,0.43,70.4,3.53
Zone B,2024,20312,71788,5.2,20.89,214.6,0.15,0.47,0.57,76.7,6.88
Zone K1,2016,9990,48827,5.0,5.69,151.4,0.16,0.45,0.46,37.2,3.81
Zone M,2024,13299,15655,5.0,16.66,138.1,0.19,0.43,0.6,32.3,4.26
Zone F,2014,20997,54859,3.5,24.91,113.4,0.22,0.22,0.48,94.6,6.5
Zone L,2014,27956,63625,4.3,22.11,330.1,0.23,0.2,0.46,45.1,5.44
Zone L,2023,21472,62098,4.5,15.43,401.6,0.09,0.26,0.67,33.5,4.7
Zone K2,2011,12380,25251,3.5,6.27,310.2,0.18,0.4,0.4,42.3,5.89
Zone G,2020,12757,10526,4.0,21.63,116.1,0.15,0.32,0.35,32.5,6.25
Zone A,2012,27097,78760,5.0,16.98,415.0,0.27,0.32,0.53,55.5,4.01
Zone A,2016,18395,57837,3.8,7.3,336.2,0.21,0.47,0.69,82.2,4.11
Zone M,2015,24241,21536,4.6,6.88,224.7,0.18,0.47,0.45,52.2,3.62
Zone J,2025,13588,38541,3.9,23.19,353.4,0.08,0.47,0.32,58.9,6.82
Zone C,2021,25350,61027,3.5,18.38,167.0,0.2,0.29,0.44,73.9,5.33
Zone G,2011,12944,44531,4.0,21.59,205.3,0.08,0.41,0.5,63.1,1.96
Zone F,2015,21395,18712,5.5,22.58,462.9,0.13,0.28,0.36,86.0,6.25
Zone H,2011,27816,75455,5.1,16.44,180.7,0.09,0.26,0.56,86.3,4.14
Zone J,2011,25072,15109,5.4,15.35,261.5,0.22,0.26,0.7,30.6,1.88
Zone E,2011,12243,59268,4.5,13.61,450.6,0.1,0.3,0.48,80.6,4.52
Zone A,2023,28085,64615,3.7,11.34,368.5,0.15,0.33,0.44,59.9,3.79
Zone K1,2024,29566,39759,4.6,13.69,78.0,0.27,0.45,0.46,94.3,6.33
Zone L,2020,17916,70112,4.4,20.48,116.3,0.1,0.24,0.35,61.4,2.62
Zone O,2012,28806,36589,5.2,17.04,53.5,0.18,0.42,0.65,94.1,6.05
Zone J,2024,17984,40015,3.7,22.85,333.9,0.15,0.36,0.47,79.0,4.57
Zone P2,2011,9759,39009,4.5,13.87,251.5,0.05,0.29,0.45,46.2,1.8
Zone P2,2013,17181,72046,3.8,17.14,110.4,0.25,0.35,0.56,65.0,6.85
Zone L,2018,10482,36143,4.1,17.63,481.1,0.07,0.29,0.48,94.5,4.32
Zone G,2015,8951,16154,5.0,16.83,288.3,0.17,0.38,0.56,85.7,3.1
Zone B,2010,10079,31804,4.5,19.05,158.9,0.19,0.33,0.32,36.3,4.08
Zone C,2017,10717,51688,4.3,9.75,275.3,0.21,0.25,0.63,75.9,6.22
Zone P2,2024,28908,74288,4.3,15.25,355.8,0.22,0.23,0.68,52.5,3.18
Zone E,2021,17692,61195,4.4,7.08,84.3,0.11,0.36,0.56,30.5,2.56
Zone P2,2023,15311,30581,5.1,12.69,173.6,0.05,0.47,0.68,56.2,2.21
Zone P2,2016,26449,62648,5.3,14.75,413.1,0.23,0.3,0.36,45.3,3.14
Zone P2,2019,8768,40087,5.4,18.04,256.8,0.18,0.42,0.49,83.2,5.79
Zone B,2012,13490,59930,5.1,24.01,296.0,0.26,0.4,0.54,51.9,4.09
Zone B,2010,23534,42981,4.1,17.01,244.8,0.26,0.48,0.53,83.8,2.75
Zone E,2014,14645,79298,4.9,19.87,69.8,0.26,0.45,0.46,30.0,2.41
Zone A,2022,29467,56167,4.4,15.13,124.6,0.17,0.37,0.44,50.0,3.33
Zone A,2013,13232,53408,4.0,17.68,250.5,0.13,0.4,0.35,45.7,6.67
Zone B,2019,19485,49499,5.2,6.42,144.1,0.25,0.47,0.46,45.2,3.39
Zone L,2017,13797,62269,3.6,10.09,72.5,0.16,0.32,0.37,34.4,6.93
Zone F,2010,29310,48559,5.3,12.24,429.6,0.1,0.3,0.59,42.2,4.17
Zone D,2019,27719,58787,4.4,14.45,491.5,0.26,0.2,0.38,66.1,2.49
Zone K2,2010,20342,45488,4.8,5.91,406.9,0.27,0.45,0.32,48.9,6.4
Zone P2,2021,16038,32431,4.8,7.8,434.2,0.17,0.44,0.52,57.1,4.03
Zone F,2013,24002,71681,5.3,10.54,158.9,0.07,0.23,0.54,54.5,5.4
Zone E,2017,21087,73483,4.8,24.43,482.3,0.15,0.37,0.65,86.9,6.91
Zone B,2014,12873,59153,4.7,11.63,138.6,0.25,0.34,0.53,88.8,1.78
Zone F,2011,9481,16368,3.6,14.64,478.1,0.28,0.24,0.44,62.0,2.03
Zone K2,2015,18093,37424,4.5,8.92,497.7,0.1,0.49,0.62,51.5,5.46
Zone P1,2014,27835,55004,3.8,17.22,370.3,0.07,0.26,0.52,36.9,3.05
Zone P1,2011,22422,66985,5.0,10.61,491.5,0.27,0.22,0.33,92.0,2.51
Zone A,2022,24438,60069,4.5,9.14,306.3,0.15,0.38,0.53,33.9,1.72
Zone J,2023,15643,62326,4.9,15.33,166.8,0.19,0.42,0.66,49.3,1.62
Zone F,2020,27846,33398,3.6,5.11,246.6,0.29,0.21,0.46,49.4,5.76
Zone P1,2020,23708,60861,3.7,5.15,317.1,0.07,0.4,0.42,50.8,2.24
Zone C,2025,19271,78577,4.9,9.38,82.9,0.21,0.36,0.36,40.7,4.07
Zone D,2020,25216,75641,3.6,5.73,330.1,0.07,0.23,0.36,80.9,4.83
Zone C,2012,20600,19078,3.6,7.16,491.5,0.14,0.25,0.47,38.0,3.86
Zone G,2024,18998,35003,3.5,11.78,135.5,0.25,0.37,0.54,71.3,1.65
Zone J,2018,22295,72768,5.4,21.05,406.7,0.16,0.29,0.33,38.0,5.81
Zone A,2016,18682,61047,5.0,16.44,458.6,0.3,0.48,0.68,34.6,1.56
Zone H,2016,24380,67660,4.2,15.25,474.7,0.19,0.45,0.6,89.1,5.69
Zone G,2025,16519,59786,4.1,10.87,482.1,0.13,0.5,0.53,42.4,6.41
Zone H,2024,27694,11925,4.2,23.64,284.7,0.11,0.28,0.63,83.4,3.88
Zone A,2020,11300,36015,5.0,12.94,489.8,0.14,0.49,0.33,65.4,4.45
Zone K2,2015,14722,43320,4.8,6.74,390.8,0.14,0.33,0.49,35.1,4.12
Zone K1,2025,15218,74881,3.9,17.34,122.8,0.07,0.3,0.55,92.1,3.64
Zone C,2017,28059,36289,3.8,7.28,264.6,0.14,0.22,0.63,46.1,6.38
Zone G,2013,11054,13389,3.7,11.9,373.2,0.17,0.22,0.61,85.9,6.42
Zone P1,2017,21575,35683,4.8,15.15,161.3,0.23,0.41,0.41,41.0,3.35
Zone P1,2013,15970,23629,5.0,22.48,338.3,0.21,0.34,0.68,85.5,4.88
Zone P2,2017,10143,71550,4.0,14.87,350.0,0.23,0.27,0.35,30.9,6.6
Zone B,2018,29591,34826,3.5,19.05,123.2,0.05,0.38,0.65,63.3,6.79
Zone A,2012,17503,36630,3.7,24.86,304.3,0.1,0.28,0.69,80.0,4.3
Zone P1,2025,23149,56163,5.4,7.63,397.2,0.22,0.37,0.37,90.8,3.99
Zone L,2012,26922,76435,4.1,10.49,274.5,0.17,0.31,0.59,89.1,3.03
Zone E,2020,20175,21653,5.0,12.89,55.4,0.05,0.45,0.32,83.3,6.77
Zone E,2022,28931,37961,4.7,13.44,54.1,0.25,0.45,0.46,87.7,2.29
Zone J,2025,16356,43662,4.3,13.22,210.7,0.24,0.34,0.51,42.9,4.69
Zone J,2011,29389,66446,3.9,23.15,466.8,0.19,0.31,0.53,48.5,3.05
Zone C,2022,23070,31288,3.7,19.28,152.9,0.07,0.31,0.67,48.8,3.03
Zone P1,2019,8822,46877,4.7,17.16,335.5,0.24,0.44,0.57,54.5,3.73
Zone P1,2012,25327,25313,5.0,11.19,149.9,0.2,0.3,0.49,55.6,6.99
Zone C,2012,22289,20326,4.8,21.48,194.8,0.25,0.26,0.62,65.4,1.8
Zone A,2014,14150,11560,4.6,24.1,431.6,0.24,0.23,0.68,40.4,4.68
Zone K2,2014,12425,36745,3.6,21.42,378.0,0.25,0.34,0.31,74.9,1.95
Zone P2,2011,24032,41890,5.4,5.03,92.9,0.18,0.34,0.69,40.9,2.35
Zone H,2021,10198,30022,5.1,17.73,242.9,0.09,0.45,0.33,50.2,3.92
Zone D,2019,28626,62579,4.1,6.02,63.1,0.22,0.27,0.63,62.7,4.31
Zone F,2022,28079,38380,5.5,10.15,266.4,0.21,0.31,0.41,81.8,2.92
Zone H,2015,11452,12356,4.7,6.19,348.1,0.24,0.44,0.35,78.1,3.24
Zone C,2014,17106,30049,4.7,17.08,103.3,0.09,0.45,0.48,72.0,1.98
Zone P1,2015,21859,26082,5.0,18.73,180.0,0.1,0.32,0.56,40.1,3.17
Zone C,2010,25692,10661,5.1,7.29,229.0,0.27,0.34,0.45,65.6,6.82
Zone N,2014,28561,47412,4.8,12.68,463.8,0.24,0.29,0.32,35.7,6.7
Zone B,2018,16705,12920,3.8,14.12,497.0,0.28,0.48,0.54,54.5,3.34
Zone C,2021,18112,70315,4.2,12.38,70.2,0.24,0.24,0.66,56.9,4.64
Zone P1,2019,27978,18946,5.4,7.42,392.5,0.2,0.48,0.45,32.6,6.5
Zone J,2023,12841,55500,3.9,13.38,217.3,0.21,0.41,0.39,47.8,1.53
Zone D,2011,23358,26309,4.2,20.02,226.6,0.27,0.36,0.48,92.1,5.96
Zone A,2010,9409,65230,4.4,6.42,389.4,0.19,0.21,0.32,92.0,6.72
Zone D,2023,12566,40027,4.4,6.6,463.3,0.21,0.34,0.63,52.9,2.0
Zone A,2019,19382,69321,4.7,12.1,477.9,0.09,0.32,0.63,32.8,2.39
Zone N,2022,28875,10956,5.4,23.83,309.7,0.17,0.25,0.54,41.6,6.78
Zone P1,2020,25939,57908,4.0,18.37,210.7,0.23,0.4,0.44,55.5,4.46
Zone H,2018,22596,35963,3.7,18.57,404.4,0.12,0.49,0.62,91.6,1.58
Zone G,2019,8804,49443,3.9,12.24,163.0,0.1,0.37,0.52,39.2,2.92
Zone C,2018,21221,49063,5.3,16.87,303.8,0.13,0.41,0.63,79.6,3.97
Zone P2,2024,9279,14703,4.8,5.2,211.4,0.11,0.22,0.55,37.1,5.31
Zone A,2018,21192,75128,4.1,17.72,345.5,0.1,0.33,0.61,93.8,5.53
Zone P1,2015,15083,35849,5.1,23.27,158.2,0.16,0.23,0.54,54.8,6.97
Zone L,2024,19093,41860,5.2,17.25,136.2,0.28,0.38,0.47,80.4,3.08
Zone N,2017,25771,41585,5.2,22.47,463.2,0.18,0.48,0.68,52.3,4.46
Zone F,2023,20880,32015,5.3,19.48,95.8,0.1,0.4,0.52,70.8,4.43
Zone F,2020,23517,53585,4.0,7.41,277.7,0.07,0.22,0.54,42.5,3.73
Zone M,2024,27063,36958,5.0,23.05,149.4,0.22,0.31,0.39,39.5,2.43
Zone H,2025,10106,36017,4.4,6.33,67.5,0.15,0.37,0.55,91.0,6.88
Zone B,2022,24086,55350,5.2,15.68,66.2,0.26,0.32,0.53,89.6,6.19
Zone A,2010,28607,22201,5.0,7.84,128.8,0.21,0.45,0.37,87.7,4.24
Zone O,2019,12831,39426,5.1,5.23,440.0,0.25,0.44,0.32,70.7,4.82
Zone A,2013,27152,27778,4.8,13.44,177.1,0.12,0.38,0.54,82.5,2.75
Zone E,2010,11186,55241,3.9,10.9,477.7,0.22,0.31,0.61,34.5,4.49
Zone P1,2017,10573,52229,4.6,14.72,311.7,0.12,0.28,0.51,51.8,5.32
Zone D,2010,20808,58364,5.5,16.54,246.5,0.28,0.23,0.39,50.4,4.33
Zone C,2012,10599,67056,5.4,5.87,311.0,0.21,0.31,0.57,71.3,6.95
Zone P2,2022,12033,37490,3.6,7.46,282.5,0.13,0.32,0.33,53.1,4.86
Zone P2,2013,16428,29975,3.8,16.17,391.4,0.12,0.4,0.48,39.7,3.54
Zone L,2024,9304,36723,3.8,11.86,177.1,0.1,0.4,0.37,68.8,5.75
Zone N,2024,25685,33279,5.0,19.58,208.9,0.22,0.22,0.37,82.9,2.44
Zone F,2024,26925,21561,5.1,18.05,452.3,0.1,0.32,0.38,54.8,3.61
Zone C,2017,26435,76061,3.9,21.91,475.9,0.2,0.25,0.45,38.6,3.41
Zone J,2015,16633,59153,4.5,18.85,451.7,0.12,0.25,0.32,42.8,3.87
Zone E,2023,19372,43142,5.2,13.6,238.8,0.22,0.45,0.46,45.4,5.8
Zone P2,2019,16996,36916,5.0,18.46,401.2,0.25,0.21,0.5,49.5,4.16
Zone N,2021,24458,74324,4.6,10.51,264.4,0.24,0.33,0.49,71.8,5.87
Zone C,2016,13475,54965,4.7,11.13,273.9,0.24,0.25,0.45,69.1,4.67
Zone A,2023,15184,14648,4.5,20.78,142.1,0.1,0.46,0.64,75.2,3.38
Zone A,2017,20875,45133,4.1,13.93,316.0,0.07,0.37,0.36,53.6,5.95
Zone C,2011,9622,60677,4.6,20.97,133.8,0.22,0.27,0.5,83.6,2.81
Zone K1,2022,23988,45046,4.9,21.45,199.2,0.14,0.35,0.32,43.3,2.73
Zone C,2019,16041,57064,5.2,22.15,434.8,0.16,0.42,0.33,60.5,4.27
Zone H,2023,24725,79350,4.8,23.33,143.2,0.06,0.49,0.53,82.1,2.93
Zone N,2020,26458,55893,5.0,13.62,82.0,0.11,0.27,0.53,41.7,1.55
Zone O,2017,15992,71272,3.8,11.38,81.1,0.06,0.47,0.65,37.1,5.07
Zone B,2012,23646,77649,4.4,16.64,473.4,0.27,0.48,0.52,87.4,4.31
Zone K1,2016,25029,74674,3.5,12.42,278.1,0.11,0.47,0.68,52.3,3.95
Zone B,2012,12263,23760,4.0,17.02,234.2,0.19,0.39,0.32,74.5,6.82
Zone P2,2024,22060,31927,5.0,19.11,414.9,0.06,0.39,0.34,31.6,4.64
Zone H,2016,23156,71367,5.5,18.77,426.1,0.22,0.32,0.32,74.9,6.25
Zone A,2023,16646,22588,3.7,12.49,199.5,0.13,0.43,0.37,50.5,2.27
Zone J,2020,19664,62233,4.3,8.34,362.1,0.27,0.36,0.52,33.6,4.63
Zone K2,2024,10969,54738,5.1,13.61,397.0,0.27,0.4,0.56,69.6,6.27
Zone P1,2021,11028,43397,3.9,7.85,344.6,0.13,0.33,0.32,45.7,4.71
Zone G,2022,27065,29816,4.6,22.8,118.2,0.28,0.42,0.68,55.1,5.45
Zone K1,2011,11629,52240,5.0,11.92,444.1,0.3,0.45,0.64,35.2,3.55
Zone C,2019,28609,16276,4.7,8.09,292.6,0.26,0.24,0.42,39.6,2.01
Zone M,2015,11067,33499,3.9,5.51,177.1,0.26,0.45,0.33,49.4,4.02
Zone G,2012,13941,45946,4.2,17.92,241.4,0.11,0.36,0.37,35.8,3.67
Zone D,2012,25770,65204,5.1,17.74,66.9,0.19,0.45,0.35,89.2,6.27
Zone M,2024,27250,61886,4.6,11.81,107.5,0.07,0.33,0.35,30.4,2.84
Zone A,2025,29172,25563,3.5,6.43,394.5,0.07,0.31,0.51,61.5,6.82
Zone H,2018,19555,19847,5.0,13.19,50.0,0.3,0.47,0.4,38.0,6.77
Zone N,2016,29874,36155,3.6,11.22,237.5,0.13,0.28,0.44,50.0,2.86
Zone P1,2014,21081,77278,5.0,18.54,285.1,0.24,0.45,0.7,90.2,3.41
Zone N,2021,28508,28309,3.9,17.12,74.6,0.25,0.35,0.57,40.5,6.43
Zone L,2019,28234,10619,5.4,12.29,487.9,0.26,0.35,0.68,92.8,6.82
Zone O,2016,29799,60108,4.2,9.36,151.8,0.3,0.29,0.36,43.4,3.94
Zone B,2018,14819,44707,4.2,24.76,186.9,0.11,0.37,0.45,78.2,3.27
Zone B,2010,19046,30337,3.8,14.08,186.8,0.06,0.3,0.52,65.5,4.39
Zone P2,2016,25717,76504,4.1,18.77,153.7,0.15,0.21,0.33,87.5,5.28
Zone K1,2015,28534,57614,5.3,7.81,50.7,0.08,0.28,0.3,66.0,3.0
Zone F,2019,10711,10281,5.5,14.71,378.2,0.06,0.2,0.57,64.7,5.55
Zone O,2023,12853,37420,4.2,5.55,485.1,0.14,0.49,0.56,42.7,1.78
Zone K2,2021,29792,49030,4.4,15.11,150.9,0.25,0.49,0.46,40.8,1.77
Zone E,2018,15715,11058,4.9,24.28,348.4,0.19,0.32,0.5,89.6,3.62
Zone A,2010,16942,38404,5.3,12.68,383.9,0.13,0.42,0.47,51.3,3.44
Zone H,2022,23507,39856,4.7,5.78,431.8,0.21,0.3,0.31,54.2,3.24
Zone L,2013,23826,19200,4.3,5.62,240.2,0.11,0.4,0.43,79.4,4.2
Zone L,2018,9762,74178,4.3,12.76,186.3,0.05,0.44,0.37,52.0,3.26
