cell_id,zone_name,area_km2,population,population_density_per_km2,park_count,park_area_km2,green_area_pct,school_count,hospital_count,primary_roads_km,parks_per_10k_residents,schools_per_10k_residents,hospitals_per_100k_residents,coverage_score,coverage_label
145,North West,0.883,15622,17692.2,10,0.0276,3.12,3,0,3.65,6.401,1.92,0.0,49.11,Needs Improvement
146,South,0.5568,5368,9641.5,1,0.0038,0.67,1,1,3.66,1.863,1.863,18.629,34.04,Needs Improvement
147,West,0.8314,17612,21182.9,23,0.1117,13.43,3,2,5.51,13.059,1.703,11.356,85.3,Excellent
148,North West,1.5974,26431,16546.7,25,0.1566,9.81,8,1,11.4,9.459,3.027,3.783,85.09,Excellent
149,North,0.5476,4098,7483.3,1,0.003,0.55,2,0,2.47,2.44,4.88,0.0,30.43,Needs Improvement
150,North East,0.6891,12612,18302.5,11,0.037,5.36,6,0,2.71,8.722,4.757,0.0,66.59,Good
151,South,0.7363,10413,14141.9,6,0.0249,3.39,6,0,2.13,5.762,5.762,0.0,51.71,Good
152,South West,0.7497,11833,15784.5,4,0.0171,2.28,4,0,5.65,3.38,3.38,0.0,41.38,Needs Improvement
153,South West,0.271,6674,24624.1,3,0.0106,3.9,1,0,1.26,4.495,1.498,0.0,40.35,Needs Improvement
154,South,0.2051,2605,12704.1,2,0.0078,3.79,2,0,0.41,7.678,7.678,0.0,58.91,Good
155,South,0.343,6216,18125.0,3,0.0112,3.26,2,0,1.13,4.826,3.218,0.0,48.38,Needs Improvement
156,North West,0.6993,7368,10535.5,11,0.0562,8.04,3,0,4.47,14.929,4.072,0.0,72.07,Excellent
157,South,0.8816,9380,10640.2,9,0.0356,4.04,1,1,6.64,9.595,1.066,10.661,65.86,Good
158,East,0.4599,5641,12266.1,2,0.0051,1.1,3,0,3.24,3.545,5.318,0.0,38.74,Needs Improvement
159,West,1.4448,15090,10444.3,12,0.0673,4.66,3,0,10.64,7.952,1.988,0.0,54.54,Good
160,West,0.5803,9748,16799.4,6,0.0133,2.3,2,0,3.1,6.155,2.052,0.0,47.75,Needs Improvement
161,West,0.6401,5046,7883.6,3,0.0072,1.13,1,0,5.05,5.945,1.982,0.0,40.36,Needs Improvement
162,South West,0.5628,10499,18653.5,8,0.0393,6.99,3,1,3.73,7.62,2.857,9.525,73.5,Excellent
163,North West,0.6853,6764,9870.7,6,0.0375,5.47,5,0,3.58,8.87,7.392,0.0,63.9,Good
164,North West,0.9649,15023,15568.8,8,0.0364,3.77,4,1,4.61,5.325,2.663,6.656,59.33,Good
165,East,0.9427,7848,8324.8,11,0.0298,3.16,2,0,1.95,14.016,2.548,0.0,62.24,Good
166,North West,0.3688,5976,16202.7,7,0.0455,12.33,0,0,1.75,11.714,0.0,0.0,65.41,Good
167,North West,1.5775,32579,20652.7,38,0.1778,11.27,16,1,3.23,11.664,4.911,3.069,89.09,Excellent
168,East,0.3278,4405,13438.6,3,0.0165,5.05,0,0,1.3,6.81,0.0,0.0,42.51,Needs Improvement
169,South,0.6631,16492,24871.3,10,0.0305,4.61,7,1,2.96,6.064,4.244,6.064,65.01,Good
170,East,0.5363,6788,12656.5,6,0.0168,3.14,8,1,3.96,8.839,11.786,14.732,72.72,Excellent
171,Central,0.337,5317,15779.0,5,0.0193,5.74,3,0,1.63,9.404,5.642,0.0,69.79,Good
172,East,0.6044,5587,9243.2,9,0.0544,9.0,1,0,3.49,16.109,1.79,0.0,66.36,Good
173,North,0.4054,6467,15951.8,6,0.0374,9.24,2,0,1.13,9.278,3.093,0.0,73.66,Excellent
174,North East,0.6606,7045,10664.8,7,0.0187,2.83,1,0,2.71,9.936,1.419,0.0,57.49,Good
175,South,0.8053,8081,10034.6,5,0.032,3.97,2,0,5.13,6.187,2.475,0.0,48.77,Needs Improvement
176,New Delhi,1.5293,38515,25185.4,28,0.0932,6.1,12,1,3.25,7.27,3.116,2.596,70.23,Excellent
177,South West,0.7604,6123,8052.6,7,0.0193,2.54,1,0,4.37,11.432,1.633,0.0,56.71,Good
178,East,0.4382,5602,12784.5,1,0.004,0.9,3,0,2.98,1.785,5.355,0.0,31.79,Needs Improvement
179,East,0.4999,8899,17801.5,7,0.0296,5.92,2,0,1.56,7.866,2.247,0.0,60.1,Good
180,West,0.6877,10109,14699.5,5,0.0287,4.17,1,0,4.57,4.946,0.989,0.0,39.74,Needs Improvement
181,South West,0.6688,4275,6392.2,1,0.0047,0.7,1,0,2.37,2.339,2.339,0.0,26.19,Needs Improvement
182,South,1.518,25872,17043.7,19,0.1071,7.06,11,0,11.2,7.344,4.252,0.0,63.2,Good
183,West,1.4606,11262,7710.6,11,0.0526,3.6,3,0,11.13,9.767,2.664,0.0,62.03,Good
184,East,0.5098,5715,11210.3,6,0.0321,6.29,1,0,3.12,10.499,1.75,0.0,64.09,Good
185,New Delhi,0.455,5523,12139.7,6,0.0387,8.51,1,0,3.01,10.864,1.811,0.0,67.78,Good
186,South West,0.1363,1000,7334.6,3,0.0141,10.37,1,0,1.07,30.0,10.0,0.0,72.86,Excellent
187,South,0.4549,5836,12829.8,8,0.0424,9.33,1,0,2.06,13.708,1.714,0.0,68.78,Good
188,South,0.3516,6143,17470.6,9,0.0314,8.93,2,0,0.83,14.651,3.256,0.0,76.16,Excellent
189,West,0.5111,6391,12505.4,6,0.0194,3.79,1,0,1.66,9.388,1.565,0.0,58.45,Good
190,South,0.7998,11528,14414.0,13,0.0766,9.58,2,0,2.43,11.277,1.735,0.0,70.26,Excellent
191,North West,0.7032,23263,33079.8,19,0.1208,17.17,5,1,5.17,8.167,2.149,4.299,79.49,Excellent
192,South West,0.621,13040,20996.9,11,0.0378,6.08,3,0,3.37,8.436,2.301,0.0,62.85,Good
193,East,0.7127,9770,13707.5,10,0.0593,8.33,1,0,4.1,10.235,1.024,0.0,64.66,Good
194,West,0.5862,22087,37676.4,20,0.0537,9.17,8,0,2.38,9.055,3.622,0.0,64.23,Good
195,New Delhi,0.7117,7385,10377.2,3,0.0125,1.76,1,0,1.88,4.062,1.354,0.0,32.14,Needs Improvement
196,West,0.091,1499,16474.4,2,0.0075,8.22,1,0,0.62,13.342,6.671,0.0,75.27,Excellent
197,North,0.538,3832,7123.1,1,0.0022,0.41,0,1,2.81,2.61,0.0,26.096,25.7,Needs Improvement
198,West,0.5916,9287,15697.5,4,0.0255,4.31,4,0,3.96,4.307,4.307,0.0,47.61,Needs Improvement
199,North,0.5152,6596,12801.9,8,0.0491,9.54,3,0,1.78,12.129,4.548,0.0,75.46,Excellent
200,North West,0.5548,7609,13714.8,7,0.0388,6.99,3,0,2.56,9.2,3.943,0.0,69.67,Good
201,East,0.9643,14969,15523.7,15,0.0884,9.17,3,0,6.92,10.021,2.004,0.0,71.49,Excellent
202,Central,0.4417,6612,14971.1,4,0.0213,4.82,1,0,3.08,6.05,1.512,0.0,47.77,Needs Improvement
203,North East,2.368,20640,8716.2,15,0.0764,3.23,3,1,10.61,7.267,1.453,4.845,56.18,Good
204,South West,0.9556,10973,11482.6,6,0.018,1.89,3,2,4.4,5.468,2.734,18.227,55.56,Good
205,South,0.6299,8452,13417.5,10,0.0241,3.83,2,0,3.87,11.832,2.366,0.0,65.57,Good
206,East,0.5586,4221,7556.8,5,0.0288,5.15,2,0,3.2,11.846,4.738,0.0,66.47,Good
207,East,0.6003,11078,18453.4,10,0.0323,5.38,3,0,3.89,9.027,2.708,0.0,66.37,Good
208,North West,0.3651,10379,28427.1,13,0.0366,10.03,3,0,2.82,12.525,2.89,0.0,74.7,Excellent
209,North West,0.5972,9026,15113.8,6,0.0206,3.44,2,0,1.79,6.647,2.216,0.0,51.97,Good
210,West,0.7474,8101,10839.0,4,0.0145,1.94,2,1,2.67,4.938,2.469,12.344,51.75,Good
211,East,0.8953,4772,5330.3,9,0.037,4.14,1,0,4.39,18.86,2.096,0.0,59.2,Good
212,West,0.8953,6522,7284.4,5,0.0177,1.97,1,0,3.64,7.666,1.533,0.0,45.66,Needs Improvement
213,South West,0.5362,8220,15330.9,5,0.0313,5.84,2,0,1.73,6.083,2.433,0.0,53.8,Good
214,South West,0.2704,5996,22178.3,6,0.0267,9.88,1,0,1.69,10.007,1.668,0.0,70.69,Excellent
215,South West,0.4232,5188,12258.1,6,0.0363,8.59,1,0,1.08,11.565,1.928,0.0,68.54,Good
216,South,1.6635,12283,7383.7,16,0.041,2.47,3,0,12.78,13.026,2.442,0.0,60.22,Good
217,North,1.0825,10227,9447.7,5,0.0187,1.73,3,0,8.12,4.889,2.933,0.0,42.69,Needs Improvement
218,South West,0.7893,8404,10647.3,12,0.0296,3.75,4,0,4.03,14.279,4.76,0.0,66.78,Good
219,South,0.4005,2474,6178.0,1,0.0024,0.6,0,0,1.85,4.042,0.0,0.0,21.03,Needs Improvement
220,North,0.6337,7491,11821.1,6,0.0314,4.95,1,0,2.09,8.01,1.335,0.0,52.79,Good
221,North West,0.2977,5694,19128.7,5,0.0118,3.97,1,0,1.7,8.781,1.756,0.0,58.86,Good
222,West,0.4541,3101,6829.6,6,0.0203,4.48,0,0,2.68,19.349,0.0,0.0,50.15,Good
223,East,0.5458,5840,10699.8,4,0.0099,1.82,0,1,3.42,6.849,0.0,17.123,46.8,Needs Improvement
224,Central,0.509,3031,5955.1,2,0.0129,2.53,0,1,2.63,6.598,0.0,32.992,43.53,Needs Improvement
225,North West,1.1225,10828,9646.0,11,0.0636,5.66,2,0,5.24,10.159,1.847,0.0,62.75,Good
226,North West,0.2699,3405,12614.6,2,0.0076,2.82,1,0,0.79,5.874,2.937,0.0,50.12,Good
227,North East,0.3762,7576,20138.2,4,0.0202,5.36,5,0,2.44,5.28,6.6,0.0,52.82,Good
228,West,0.2772,4451,16059.7,2,0.0114,4.1,1,0,1.95,4.493,2.247,0.0,44.33,Needs Improvement
229,North,0.301,2509,8336.7,1,0.0047,1.55,0,0,1.04,3.986,0.0,0.0,23.44,Needs Improvement
230,South West,0.6812,9467,13898.1,8,0.0498,7.31,1,0,2.65,8.45,1.056,0.0,57.48,Good
231,New Delhi,0.242,2834,11708.6,1,0.0023,0.93,3,0,1.53,3.529,10.586,0.0,38.08,Needs Improvement
232,North West,0.994,13237,13317.4,13,0.0376,3.78,4,0,7.25,9.821,3.022,0.0,67.89,Good
233,North East,0.5453,6739,12358.9,7,0.0391,7.17,1,0,2.15,10.387,1.484,0.0,64.63,Good
234,East,0.659,9999,15174.0,5,0.0294,4.46,2,0,2.92,5.001,2.0,0.0,45.57,Needs Improvement
235,West,0.7673,11043,14391.3,8,0.0356,4.64,2,1,4.25,7.244,1.811,9.056,63.43,Good
236,South West,0.4873,9225,18930.8,7,0.0406,8.34,2,0,1.78,7.588,2.168,0.0,61.62,Good
237,Central,1.1748,16477,14025.1,10,0.0578,4.92,2,0,7.26,6.069,1.214,0.0,45.84,Needs Improvement
238,East,0.5627,14809,26317.0,20,0.0767,13.63,5,0,3.7,13.505,3.376,0.0,81.16,Excellent
239,New Delhi,0.9031,14879,16475.6,14,0.0544,6.02,1,1,5.04,9.409,0.672,6.721,68.52,Good
240,North West,0.5611,13568,24180.7,7,0.0161,2.87,2,0,2.51,5.159,1.474,0.0,41.59,Needs Improvement
241,East,0.7529,13443,17855.4,10,0.0518,6.88,1,0,1.78,7.439,0.744,0.0,52.07,Good
