id,@id,addr:block,addr:city,addr:city:ur,addr:country,addr:district,addr:floor,addr:full,addr:housename,addr:housenumber,addr:locality,addr:neighbourhood,addr:place,addr:postcode,addr:state,addr:street,addr:subdistrict,addr:suburb,alt_name,alt_name_1,amenity,baby_feeding,barrier,beds,branch,brand,brand:wikidata,building,building:colour,building:levels,check_date,contact:email,contact:nodal_officer_email,contact:nodal_officer_mobile,contact:phone,contact:website,description,designation,email,emergency,fax,gnis:feature_id,healthcare,healthcare:speciality,highway,image,internet_access,internet_access:fee,is_in,kids_area,landuse,level,loc_name,mobile,name,name:en,name:etymology:wikidata,name:hi,name:ur,network,nohousenumber,note,old_name,opening_hours,operator,operator:short,operator:type,operator:ur,operator:wikidata,phone,roof:shape,shop,short_name,source,start_date,type,url,website,wheelchair,wikidata,wikipedia,@geometry,geometry
way/80508232,way/80508232,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Escorts Heart Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2737665 28.5600929)
way/80508236,way/80508236,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holy Family Hospital,,,,,,,,,,,,,,,,,,,,,,,,,Q5885498,,center,POINT (77.2758221 28.5621873)
way/80940708,way/80940708,,,,,Central,,"Chandni Chowk, Shyama Prasad Mukherjee Marg",,,,,,110006,Delhi,,,,,,hospital,,,,,,,,,,,,,,9717631546,,<100 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Northern Railway Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.2197946 28.6620693)
way/147110696,way/147110696,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,General Physician,,yes,,,,,,,,,,,,,,,Shamsi Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2140321 28.5303246)
way/150520027,way/150520027,,,,,,,,,2,,,,110017,,Press Enclave Marg,,,,,hospital,,wall,,,,,,,,,,,,,,,,,yes,,,hospital,,,,,,,,,,,,MAX Hospital,,,,,,,,,,,,,,,,,,,,,,http://www.maxhealthcare.in/,,,,,center,POINT (77.2116849 28.5273506)
way/154198334,way/154198334,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Shree Balaji Action Medical Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1105596 28.6739618)
way/158038115,way/158038115,,,,IN,,,,Sir Ganga Ram Hospital,,,,,110060,Delhi,Sir Ganga Ram Hospital Marg,,,,,hospital,,,675,,,,,,,,,,,+91 11 3512 5600;+91 11 4225 4000,,,,gangaram@sgrh.com,yes,,,hospital,,,,,,,,,,,,Sir Ganga Ram Hospital,,Q150465,,سر گنگا رام ہسپتال,,yes,,,mo-sa 08:00-20:00,,,,,,,,,,OpenGovernmentData,,,,https://sgrh.com,,Q7526817,en:Sir Ganga Ram Hospital (India),center,POINT (77.189509 28.6386014)
way/168898336,way/168898336,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,Vimhans,,,,,,,,,,,,,,,,,,,Survey,,,,,,,,center,POINT (77.251595 28.5679787)
way/169844632,way/169844632,,,,,South West,,"Jaffarpur Kalan,South West Delhi",,,,,,110073,Delhi,,,,,,hospital,,,,,,,,,,,,,,1125318555,,,,,yes,,,,,,,,,,,,,,,Rao Tula Ram Memorial Hospital,,Q7293696,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (76.9134857 28.5950616)
way/171501215,way/171501215,,,,,North West,,"H-4,5, Near Keshav Maha Vidhyalaya, Pitam Pura, Delhi, Apeejay School",,,,,,110034,Delhi,,,,,,hospital,,,,,,,,,,,,,,011 27034535,,District Hospital,,,,,,,,,,,,,,,,,,"Bhagwan mahavir Hospital, Pitampura",Bhagwan mahavir hospital,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1179223 28.6886465)
way/171508325,way/171508325,,,,,North West,,"Phase-1, Near Deep Market, Ashok Vihar, Institutional Area",,,,,,110052,Delhi,,,,,,hospital,,,,,,,,,,,,,,27253204,,<100 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Jivodaya Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1723324 28.6924611)
way/171527949,way/171527949,,,,,North West,,"Block S, Mangolpuri, Delhi",,,,,,110083,Delhi,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanjay Gandhi Memorial Hospital,,Q730045,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.0803838 28.6942391)
way/190333646,way/190333646,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,Vasant Kunj,,,,,,Indian Spinal Injuries Centre,,,,,,,,,,,,,,,,,,ISIC,,,,,,,,,center,POINT (77.1420645 28.5324002)
way/203071972,way/203071972,,,,,South West,,"Govt. Of N.C.T. of Delhi Chaudhary Brahm Prakash Charak Sansthan Hospital, Najafgarh, Khera Dabar",,,,,,110073,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,65152030,,,,,no,,,,,,,,,,,,,,,Chaudhary Brahm Prakash Charak Sansthan,,Q5088068,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (76.9361275 28.5722195)
way/206564482,way/206564482,,,,,Central,,"Rajender Place, Karolbagh, Near Rajender Place Metro Station",,,,,,110005,Delhi,,,,BLK Super Speciality Hospital,,hospital,,wall,,,,,,,,,,,,1130653767,,100-500 Bedded Hospital,,,yes,,,,,,,,,,,,,,,Doctor B.L. Kapoor Memorial Hospital,,,,,,,,,24/7,,,private,,,+91-11-3040-3040,,,BLK Hospital,OpenGovernmentData,,,,,,,,center,POINT (77.1798663 28.6434628)
way/209295081,way/209295081,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0235206 28.5970958)
way/211131853,way/211131853,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jyoti Memorial Charitable Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (76.9884181 28.6121748)
way/215266291,way/215266291,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0483482 28.5777229)
way/221340536,way/221340536,,,,,West,,NEW DELHI,,,,,,110058,Delhi,,,,,,hospital,,,300,,,,,,,,,,,1125508550,,,,,,,,hospital,,,,,,,,,,,,JANAKPURI SUPER SPECIALITY HOSPITAL,,,,,,,,,,"Ministry of Health & Family Welfare, Govt. of NCT of Delhi",,government,,,,,,,OpenGovernmentData,,,,https://jsshs.org/,,,,center,POINT (77.0898999 28.6205706)
way/221529467,way/221529467,,,,,North West,,"Block D, Phase 1, Ashok Vihar, New Delhi, Delhi",,,,,,110052,Delhi,,,,,,hospital,,,,,,,,,,,,,,27129193,,<100 Bedded Hospital,,,,,,,,,,,,,,,,,,Maharaja Agarsain Hospital (Charitable),,Q2721961,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1647714 28.6916204)
way/260463360,way/260463360,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensary,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0743094 28.6108812)
way/260463370,way/260463370,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,ESI,,,,,,,,,,Employees' State Insurance,ESI,,,Q3595726,,,,,,,,,,,,,center,POINT (77.0768248 28.6119495)
way/261701136,way/261701136,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,100-500 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Jaipur Golden,,,,,,,,,,,,,,,27907000,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1097813 28.6977272)
way/262439881,way/262439881,,,,,New Delhi,,"2, Chandragupt Marg, Chanakyapuri",,,,,,110021,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,011-66206620,,100-500 Bedded Hospital,,,,,,,,,,,,,,,,,,Primus Super Specialty Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1812336 28.5931317)
way/264247764,way/264247764,,New Delhi,,,,,,,1,,,,110055,,Arya Samaj Road,,,,,hospital,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramakrishna Mission T.B.Clinic and Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1960357 28.6459024)
way/264998538,way/264998538,,,,,West,,"Hari Nagar, Clock Tower",,,,,,110064,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,yes,,,hospital,,,,,,,,,,,,Deen Dayal Upadhyaya Hospital,,Q3631426,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.112329 28.6280223)
way/265203366,way/265203366,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Westend Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0959392 28.6387806)
way/265438782,way/265438782,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2385904 28.5325224)
way/265804042,way/265804042,,,,,West,,"Sardar Vallabh Bhai Patel Hosp., Near Pahari Wala Hospital, Patel Nagar",,,,,,110008,Delhi,,,,,,hospital,,,,,,,,,,,,,,25881201,,,,,,,,,,,,,,,,,,,,Sardar Vallabh Bhai Patel Hospital,,Q9455,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1690532 28.647023)
way/265825061,way/265825061,,,,,Central,,"5027, Kedar Nath Road, Daryaganj",,,,,,110002,Delhi,,,,,,hospital,,,,,,,,,,2024-12-22,,,,9899287970,,<100 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenGovernmentData,1922,,,,,,,center,POINT (77.2421267 28.6457857)
way/265899485,way/265899485,,,,,West,,"Moti Nagar, Near Tanga Stand",,,,,,110015,Delhi,,,,,,hospital,,,,,,,,,,,,,,1125423011,,100-500 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Acharya Shree Bhikshu Hospital,,Q4673518,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1403179 28.6622498)
way/266888510,way/266888510,,,,,,,,,,,,,,,,,,Men-Tsee-Khang,,hospital,,wall,,,,,,,,,,,,,,,,,no,,,hospital,,,,,,,,,,,,Tibetan Medical and Astro Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2515018 28.5878284)
way/276471539,way/276471539,,,,,North West,,"B 492, Bunker Colony, Ashok Vihar IV",,,,,,110052,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,011 2730 1374,,,,,,,,hospital,,,,,,,,,,,,Deep Chand Bandhu Government Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1783405 28.6817121)
way/276694706,way/276694706,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2899867 28.6139885)
way/278201043,way/278201043,,,,,North,,"FC-50, Phone: 011 6642 2222, C & D Block, Shalimar Bagh, New Delhi",,,,,,110088,Delhi,,,,,,hospital,,wall,402,,,,,,,,,,,6642 2222,,District Hospital,,,,,,hospital,,,,,,,,,,,,Max Healthcare,,,,,,,,,,Max Healthcare,,,,Q6794859,,,,,OpenGovernmentData,,,,https://www.maxhealthcare.in/,,,,center,POINT (77.1526744 28.7277952)
way/283919118,way/283919118,,,,,East,,"Vasundhara Enclave, Dallupura",,,,,,110096,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,011-22778788,,100-500 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Dharamshila Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.3141397 28.6025681)
way/284837724,way/284837724,,,,,South,,"Press Enclave Marg, Saket District Centre, Saket Institutional Area, Saket",,,,,,110017,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,011 4069 9999,,,,,,,,hospital,,,,,,,,,,,,Saket City Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.214229 28.5274074)
way/286838807,way/286838807,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lal Bahadur Shastri Hospital,,Q244689,,,,,,,,,,,,,,,,,,,,,https://delhi.gov.in/wps/wcm/connect/doit_health/health/home/hospitals/lal+bahadur+shastri+hospital/,,,,center,POINT (77.3136539 28.6186316)
way/286838808,way/286838808,,,,,East,,"Near Kalyanvas Colony,Mayur Vihar, Phase -II, Khichripur, Delhi",,,,,,110091,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,1122774145,,,,,,,,,,,,,,,,,,,,Lal Bahadur Shastri Hospital,,Q244689,लाल बहादुर शास्त्री अस्पताल,,,,,,,,,,,,+91 11 2277 4145,,,,OpenGovernmentData,,,,https://delhi.gov.in/wps/wcm/connect/doit_health/health/home/hospitals/lal+bahadur+shastri+hospital/,,,,center,POINT (77.3114762 28.6178479)
way/289405078,way/289405078,,,,,Central,,"Minto Road, Mahavir Ranjeet Singh Marg,Delhi Gate",,,,,,110002,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,1123235145,,100-500 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Guru Nanak Eye Hospital,,Q83322,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.2322347 28.6383024)
way/290136035,way/290136035,,,,,Central,,"Near Timarpur Police Station, Timarpur, Civil Line, Delhi Administration Flats",,,,,,110054,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,1123814204,,<100 Bedded Hospital,,,,,,,,,,,,,,,,,,Balak Ram Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.2252188 28.7052442)
way/290512003,way/290512003,,,,,Central,,"Malka Ganj, Kamla Nehru Ridge, Civil Line",,,,,,110007,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hindu Rao Hospital,,Q5766360,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,Q30279888,,center,POINT (77.2120622 28.6759543)
way/290563521,way/290563521,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maharishi Valmiki Disease Hospital,,Q715607,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2031173 28.7043632)
way/290563522,way/290563522,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Rajan Babu Tuberculosis Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2006242 28.7018915)
way/290678079,way/290678079,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,military,,,,Central Armed Police Forces Institute of Medical Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2158554 28.473978)
way/290698574,way/290698574,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0373547 28.5886316)
way/290698575,way/290698575,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0378567 28.5886581)
way/292051898,way/292051898,,,,,West,,"Raghubir Nagar, Tagore Garden Extension",,,,,,110027,Delhi,,,,,,hospital,,wall,,,,,,,,,,,,011-25190375,,,,,,,,hospital,,,,,,,,,,,,Guru Gobind Singh Hospital,,Q312967,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1071505 28.6538651)
way/294125091,way/294125091,,,,,,,,,,,,,,,,,,,,hospital,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indiraj Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0847787 28.8523257)
way/300260591,way/300260591,,"Sector - 5, Rohini, Delhi",,,North West,,"Sector 6, Rohini, Near Rohini West Metro Station",,,,,,110085,Delhi,,,,,,hospital,,,,,,,,,,,,,,1127055585,,,,,yes,,,hospital,,,,,,,,,,,,Doctor Baba Saheb Ambedkar Hospital,,Q231690,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.113726 28.7140081)
way/300260758,way/300260758,,"Sector - 5, Rohini, Delhi",,,,,,,,,,,110085,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Rajiv Gandhi Cancer Institute and Research Center,,Q4593,,,,,,,,,,,,,,,,RGCIRC,,,,,,,,,center,POINT (77.110907 28.7163957)
way/345715171,way/345715171,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Dispensary,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3377451 28.6098281)
way/350511222,way/350511222,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1524954 28.5341882)
way/350752112,way/350752112,,Paschim Vihar,,,,,,,"A1/10 Ground floor,",,,,110063,,"Paschim Vihar West M. Pillar 262, Rohtak Road",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Eye Mantra Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0985133 28.67869)
way/350752331,way/350752331,,,,,West Delhi,,"A-4/22, Nangloi Saiyed Road, Paschim Vihar",,,,,,110063,Delhi,,,,,,hospital,,,,,,,yes,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Gupta Ultrasound & Heart Care Centre,,,,,,,,,,,,,,,,,,,Local Knowledge,,,,,,,,center,POINT (77.1123782 28.6712469)
way/350752665,way/350752665,,Paschim Vihar,,,,,,,"A1/10 First floor,",,,,110063,,"Paschim Vihar West M. Pillar 262, Rohtak Road, Delhi",,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Mantra Care,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0986145 28.6786838)
way/351075557,way/351075557,,,,,West Delhi,,"Swayamsidha Colony, Road Number 66, Punjabi Bagh",,,,,,110026,Delhi,,,,,,hospital,,,,,,,yes,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,Dhanvantari Ayurvedic Hospital,,,,,,,,,,,,,,,,,,,Local Knowledge,,,,,,,,center,POINT (77.1255169 28.6706874)
way/351121261,way/351121261,,,,,New Delhi,,"Tamil Sangam Marg, R.K.Puram, sec-5",,,,,,110022,Delhi,,,,,,hospital,,,,,,,yes,,,,,,,011-26174490,,<100 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,C.G.H.S. Maternity & Gynae Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.1768786 28.5655017)
way/351567938,way/351567938,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0816736 28.6214973)
way/351583520,way/351583520,,,,,North,,"AA-Block, Shalimar Bagh",,,,,,110088,Delhi,,,,,,hospital,,,262,,,,yes,white,6,,,,,45302222,,100-500 Bedded Hospital,,,,,,hospital,general;paediatrics;intensive;oncology;cardiology;dermatology;orthopaedics;pulmonology;ophthalmology;nephrology;radiology;neurology;emergency;transplant;vascular_surgery;surgery;cardiothoracic_surgery,,,,,,,,,,,Fortis Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,https://www.fortishealthcare.com,,,,center,POINT (77.1702072 28.709266)
way/352213720,way/352213720,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,The Leprosy Mission Community Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3177567 28.6914576)
way/352280534,way/352280534,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3115102 28.666886)
way/352464765,way/352464765,,,,,Shahdara,,"A-14/15, Pushpanjali, Karkardooma, Vikas Marg Extn",,,,,,110092,Delhi,,,,,,hospital,,,,,,,yes,,,2024-07-23,,,,223728,,<100 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Pushpanjali Medical Centre,,,पुष्पांजली मेडिकल सेंटर,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.3090007 28.6540075)
way/352548697,way/352548697,,,,,East,,"2, institutional Area, karkardooma, Vikas Marg Ext",,,,,,110092,Delhi,,,,,,hospital,,,,,,,,,,,,,,47276600,,<100 Bedded Hospital,,,,,,hospital,,,,,,,,,,,,Shanti Mukund Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.3017216 28.6457448)
way/352781774,way/352781774,,New Delhi,,,,,,,J-95,,,,110017,,"1st Floor, Saket",,,,,hospital,,,,,,,,,,,,,,,,"Holistic Skin Care, A popular dermatology clinic in Saket, Delhi led by Dr. Sonali Chaudhary, merges medical knowledge with natural remedies. Dr. Sonali Chaudhary, specialized in skin health, emphasizes inner well-being for outer beauty. Offering treatmen",,Info@holisticskin.care,,,,hospital,dermatology,,,,,,,,,,9999681113,Holistic Skin Care,,,,,,,,,,,,,,,,,,,,,,,https://holisticskincare.co.in/,,,,center,POINT (77.214379 28.5192765)
way/352789067,way/352789067,,,,,South,,"J-293, Saket, New Delhi, Delhi 110017",,,,,,110017,Delhi,,,,,,hospital,,,,,,,yes,,,,,,,011 4319 1300,,<100 Bedded Hospital,,,,,,,,,,,,,,,,,,Sawan Neelu Angel's Multispeciality Hospital,,,,,,,,,,,,,,,,,,,OpenGovernmentData,,,,,,,,center,POINT (77.2151007 28.5221035)
