id,@id,MCD ZONE,School ID,UDISE Code,UNIT_TYPE,Zone,addr:block,addr:block_number,addr:city,addr:city:ur,addr:country,addr:county,addr:district,addr:full,addr:hamlet,addr:housename,addr:housenumber,addr:neighbourhood,addr:place,addr:postcode,addr:state,addr:street,addr:subdistrict,addr:suburb,alt_name,amenity,barrier,branch,brand,brand:wikidata,building,building:colour,building:levels,check_date,contact:email,contact:instagram,contact:mobile,contact:phone,contact:website,country,created_by,denomination,description,designation,district,ele,email,fax,fee,female,fixme,full_name,gnis:feature_id,grades,image,internet_access,is_in,isced:level,landuse,layer,level,loc_name,min_age,mobile,name,name:en,name:etymology:wikidata,name:hi,name:ru,name:ur,nohousenumber,not:brand:wikidata,note,office,opening_hours,operator,operator:type,operator:wikidata,phone,phone_1,polling_station,ref,religion,roof:shape,school:gender,shift,shop,short_name,source,start_date,survey:date,tourism,type,wall,website,wheelchair,wikidata,@relations,wikimedia_commons,wikipedia,@geometry,geometry
way/76977620,way/76977620,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3175462 28.6217877)
way/76995143,way/76995143,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3138149 28.6081156)
way/77001172,way/77001172,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3059001 28.6016805)
way/77001246,way/77001246,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.307694 28.6052001)
way/77001396,way/77001396,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3061555 28.6047171)
way/77004707,way/77004707,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Govt Co - Ed Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.2938546 28.6000527)
way/77007463,way/77007463,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.3021961 28.6098505)
way/77727870,way/77727870,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maharaja Agrasen Model School,,Q2721961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1377936 28.7046345)
way/77967781,way/77967781,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1654314 28.6865028)
way/77967787,way/77967787,,,,,,,,,,,,,,,,,,,,,"Phase 1 Ashok Vihar Rd, Delhi",,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montfort Senior secondary School,,,,,,,,,,,,,,,,,,,,,,,,local,,,,,,,,,,,,center,POINT (77.1699755 28.6868589)
way/77967802,way/77967802,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Boys and Girls School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1669431 28.6921673)
way/77967833,way/77967833,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guru Angad Public School,,Q370204,,,,,,,,,,,,,,,,hindu,,,,,,Local,,,,,,,,,,,,center,POINT (77.1710492 28.6894969)
way/78154548,way/78154548,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAV Public School Ashok Vihar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1738057 28.685505)
way/78154758,way/78154758,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarvodaya Kanya Vidyalaya and Government School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1699747 28.6828455)
way/78164543,way/78164543,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kulachi Hansraj School Senior Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1806289 28.6937961)
way/78164552,way/78164552,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satyawati College,,,,,,,,,,,,,,,,,,,,,,,,Local,,,,,,,,,,,,center,POINT (77.1816277 28.6957684)
way/78164557,way/78164557,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1845719 28.6836666)
way/78164685,way/78164685,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mata Jai Kaur public School,,,,,,,,,,,,,,,,,,,,,,,,Local,,,,,,,,,,,,center,POINT (77.1803149 28.6916329)
way/78175838,way/78175838,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1843593 28.696978)
way/78180074,way/78180074,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.157158 28.7055986)
way/78180267,way/78180267,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1599644 28.7056895)
way/78187945,way/78187945,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1647956 28.7067387)
way/78445739,way/78445739,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1570081 28.7098579)
way/78445769,way/78445769,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1566406 28.7082935)
way/78449332,way/78449332,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaspal Kaur Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1534608 28.7106173)
way/78449388,way/78449388,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goodley Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1561795 28.7109369)
way/78474966,way/78474966,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1513408 28.704902)
way/78474972,way/78474972,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1521937 28.701813)
way/78477044,way/78477044,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.146565 28.7003233)
way/78480645,way/78480645,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1474757 28.6975223)
way/78480652,way/78480652,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darbari Lal DAV model School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1435737 28.6992395)
way/78482694,way/78482694,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1405321 28.7099449)
way/78482807,way/78482807,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1382209 28.7088523)
way/78482823,way/78482823,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1404594 28.7054743)
way/78542394,way/78542394,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1104103 28.735632)
way/78542417,way/78542417,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan International School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1089936 28.7342427)
way/78555801,way/78555801,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1150091 28.7304814)
way/78555972,way/78555972,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.111686 28.7328474)
way/78595519,way/78595519,,,,,,,,Delhi,,,,,,,,,,,110085,,Vaishno Mata Mandir Road,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nur-12,,,,,,,,,,,St Margaret Senior Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://stmargaretsrsecschool.com/,,,,,,center,POINT (77.1352652 28.7140373)
way/78595575,way/78595575,,,,,,,,Delhi,,,,,,,,,,,110085,,Prashant Vihar Rd,,,,school,,,,,,,,2024-07-03,,,,,,,,,,,,,,,,,,,,0-12,,,,,,,,,,,CRPF Public School,,,,,,,,,,,CRPF,government,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1323717 28.71027)
way/78595581,way/78595581,,,,,,,,Delhi,,,,,,,,,,,110085,,"Maha Gauri Mata Road, Prashant Vihar",,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D Block Govt School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1374446 28.7159019)
way/78595605,way/78595605,,,,,,,,Delhi,,,,,,,,B Block,,,110085,,"Kushmanda Mata Road, Prashant Vihar",,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B Block Govt School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1335523 28.7129618)
way/78595621,way/78595621,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lancer's Convent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.lancersconvent.ac.in/,,,,,,center,POINT (77.1339191 28.7091949)
way/78601252,way/78601252,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1315969 28.7307399)
way/78601351,way/78601351,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1311096 28.7347501)
way/78601420,way/78601420,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1303662 28.7292751)
way/78601444,way/78601444,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1310487 28.729158)
way/78601484,way/78601484,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,2024-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vidya Bharti School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1293691 28.7330971)
way/78601512,way/78601512,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,2024-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Angel's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1290946 28.7298314)
way/78755705,way/78755705,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1784832 28.7153717)
way/78755824,way/78755824,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1726744 28.7209552)
way/78786214,way/78786214,,,,,,K Block,,,,,,,,,,,,Jahangir Puri,110033,,,Sant Ravidas Nagar,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCD Primary School,,,निगम प्राथमिक बालिका विद्यालय,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1685925 28.7339658)
way/78786253,way/78786253,,,,,,D,,,,,,,,,,,,Jahangir Puri,110033,,,,,Government Boys Senior Secondary School,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rani Chenamma Sarvodaya Kanya Vidyalaya,,Q3536979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1733464 28.7281725)
way/78786325,way/78786325,,,,,,,,,,,,,,,,,,,,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.1623906 28.7303714)
way/78881660,way/78881660,,,,,,,,,,,,,,,,,,,,,,,,,school,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vikas Bharti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://vikasbharati.com/,,,,,,center,POINT (77.0883247 28.7277213)
way/78881684,way/78881684,,,,,,,,,,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prince Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,center,POINT (77.0842106 28.7284758)
